Cat Sat,Cắt Sắt
Cutting Plan,Kế Hoạch Cắt
Cutting Order,Lệnh Cắt
Steel Profile,Loại Sắt
Cutting Specification,Quy Cách Cắt
Cutting Settings,Cài Đặt Cắt
Cutting Production Log,Nhật Ký Cắt
Laser Cutting Portal,Cắt Laser
MCTĐ Portal,Cắt MCTĐ
Portal Cắt Sắt,Portal Cắt Sắt
Portal Công Nhân,Portal Công Nhân
Planning & Orders,Kế Hoạch & Đơn Hàng
Masters,Danh Mục
Priority,Độ Ưu Tiên
Blade Width,Mạch Cắt (mm)
Stock Length,Cây Dài (mm)
Trim Cut,Cắt Đầu (mm)
Max Surplus,Tồn kho max
Manual Cut Limit,Giới hạn cắt lẻ
Optimization Result,Kết Quả Tối Ưu
Complete Products,Thành phẩm
Ready for Output,Đủ bộ xuất
Synced Pieces,Đồng bộ hàn mảnh
Run Optimization,Tối Ưu Hóa
Settings,Cài Đặt
Segment List,Danh Sách Đoạn
Segments,Chi tiết đoạn
Result,Kết Quả
Patterns,Sơ Đồ Cắt
Bars Used,Số Cây Sử Dụng
Bar,Cây
Cut,Cắt
Remainder,Dư
Bundle,Bó
Factors,Hệ số bó
Pattern,Sơ đồ
Counts,Số lượng
